#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
4583769_0_AE861G0AY5RGT	arms sold to Taiwan are not used for defensive, but offensive purposes	arms sold to Taiwan are not used for offensive, but defensive purposes	1	There is no reason we shouldn't sell reasonable defensive arms to Taiwan.	Keep selling arms to Taiwan	Should the U.S. Keep Selling Arms to Taiwan?	The U.S. approved a $5.8 billion arms sale to Taiwan over China's protests. What are the consequences?
3176054_290_A1DJNUJZN8FE7N	the two can so easily co exist	the two hardly co exist	1	It undermines public education and emphasizes religious values over facts even though the two can easily co-exist.	Home schoolers do not deserve a tax break	Do Home Schoolers Deserve a Tax Break?	Some conservatives want a federal credit for families who teach their children at home. What are its chances in the new Congress?
7447002_600_AB98SGS280TY5	Overdramatizing simple events and names is in a way more entertaining	Overdramatizing simple events and names is in no way more entertaining	1	Reality shows fake misery, drama, and embarrassment and pretend as though it is real.	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV?	Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama?
7951527_155_A1I4CYG5YDFTYM	this can be found in other buildings and online venues	this can't be found in other buildings and online venues	1	Libraries provide a venue for a number of desirable individual and shared life-enhancing activities.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
9831390_0_A104V8NZIQFN2F	it is NATO's fight and the US belongs to NATO	it is not NATO's fight and the US belongs to NATO	1	Not our fight.	US should not attack Syria	Is an Attack on Syria Justified?	Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons?
11894913_488_AA7ASGQEOMKEZ	a solution would encourage the search for a better solution later	a solution better than nothing would discourage the search for a better solution later	0	A ratings solution, while messy, would be better than nothing.	Government should grade colleges	Should the Government Grade Colleges?	Should the government rate colleges to hold them accountable for graduation rates, student debt and access for the poor and minorities?
2700850_221_AJNQ2PBD07FKE	They can learn critical thinking In psychology courses	They can learn critical thinking In humanities courses	1	Liberal arts provide knowledge to learn creative thinking, reading, and writing which are important to many career paths.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
7957857_673_A34QZDSTKZ3JO9	most people have internet	few people have internet	1	Libraries provide internet for those that need it to do homework, find employment, and file taxes.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
3122593_214_APW9F8OTJ4KXO	the bike lanes are not designed well enough to really serve their purpose and encourage biking	the bike lanes are designed well enough to really serve their purpose and encourage biking	1	One can avoid and improve heavy traffic by using public transportation or biking.	New York's bike lanes are working	Are New York's Bike Lanes Working?	Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far?
8389640_328_A247LJDZOGXJK6	parents don't need to come first for their children	parents  need to come first for their children	1	This will cause more government interference in peoples lives relegating parents to a secondary role.	Public preschool is not a smart investment	Is Public Preschool a Smart Investment?	Would quality child care that included a preschool curriculum be a better national goal?
7046664_196_A247LJDZOGXJK6	it is bad to focus on things that are not relevant	it is fun to focus on things that are not relevant	0	The spouse opinion may not be relevant to the campaign of the president.	We don't need to hear from candidate's spouse	Do We Need to Hear From the Candidate's Spouse?	What role should spouses of the nominees play at conventions? Is it appropriate (or useful) for them to give speeches?
2653827_630_A1CF6U3GF7DZEJ	nobody can defeat the oil interests	together everybody can defeat the oil interests	1	Having such high interest in a foundling industry with the economy struggling is proof of the electric cars viability.	Electric cars will succeed	Will Electric Cars Finally Succeed?	Are plug-in cars the future, or will high cost and other technologies eclipse their promise?
11670926_107_A1DJNUJZN8FE7N	we don't want better solutions	we want better solutions	1	If race is such a big part of the economic hardships and the reasons people are denied opportunities, then economic based actions would be a better solution.	Affirmative actions should be based on income	Should Affirmative Action Be Based on Income?	Will the Supreme Court decision on race-based preferences push colleges to resort to less effective methods to promote to diversity?
10228010_160_A1HKYY6XI2OHO1	short term fixes require much effort	short term fixes require little effort	0	[They] are short term fix that quickly fades.	Casinos are too much of a gamble	Are Casinos Too Much of a Gamble?	Do the economic and fiscal benefits of casinos outweigh their social and economic costs?
5448130_383_A104V8NZIQFN2F	college students need to see how the "real world" is going to be	college students do not need to see how the "real world" is going to be	1	Internships are abused by employers and they should be monitored for misuse.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
7441792_159_APW9F8OTJ4KXO	other shows are held accountable via ratings and reviews when they cross the line and reality shows do not face the same consequences	other shows are held accountable via ratings and reviews when they cross the line, reality shows face the same consequences	0	Criticism needs to be strongly raised when a reality show is sexist, racist, or misogynistic.	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV?	Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama?
12629542_220_A1CF6U3GF7DZEJ	we need the islamists as scapegoats to unify the country	we do not need the islamists as scapegoats to unify the country	1	Working with Assad will help defeat radical islamists	The U.S. should work with Assad to fight ISIS	Should the U.S. Work With Assad to Fight ISIS?	Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest?
3647415_356_A3TKD7EJ6BM0M5	cost saving methods make education available to everyone	cost saving methods can't make education available to everyone	1	Online courses should only be used as a low quality cost savings measure.	Online classes are not the best way to teach	Can Young Students Learn From Online Classes?	Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group?
11163402_303_A34QZDSTKZ3JO9	people want the police to know their information	people don't want the police to know their information	0	Giving all immigrants ID cards would allow police to get information about people from their home country.	All immigrants should get ID cards	Should All Immigrants Get ID Cards?	Should cities issue identification for anyone who has no passport or driver's license, even if they are not in the country legally?
4803078_343_A1DJNUJZN8FE7N	I believe the Euro cannot handle it	I believe the Euro can handle it	0	Greece cannot support its own economy and is bringing the Euro down.	Greece will destroy the Euro Zone	Will Greece Destroy the Euro Zone?	The collapse of the Papandreou government may undo European efforts to restructure debt and hold the union together.
6210543_90_A3TKD7EJ6BM0M5	we can't have citizens being loyal to their home country	we can have citizens being loyal to their home country	1	America has more opportunity, but people are still loyal to their homes.	Dual citizenship should be allowed	Can Dual Citizens Be Good Americans?	Should dual citizenship be allowed? The pros and cons of pledging allegiance to more than one country.
8892337_0_AA7ASGQEOMKEZ	facts and actual use are more important than base sentimentality	facts and actual use are less important than base sentimentality	1	I have poor handwriting and  mainly use technology but cursive writing still feels important to me.	Students should be taught cursive	Is Cursive Dead?	New public school curriculum standards in the U.S. do not require the teaching of cursive. But should students be taught it anyway?
12628825_223_A1DJNUJZN8FE7N	Assad is half Kurdish on his mother's side	Assad is only half Kurdish on his mother's side and not a true Kurd	1	The U.S. should support the Kurds only.	The U.S. should not work with Assad to fight ISIS	Should the U.S. Work With Assad to Fight ISIS?	Is the militant group such a threat to the United States that working with the despised Syrian dictator would be in the national interest?
7951620_161_A1I4CYG5YDFTYM	there are regular city meetings to bring the community together as well as numerous events	there are not regular city meetings to bring the community together nor are there numerous events	1	The library brings community together as a center for development.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
10944255_438_A1DJNUJZN8FE7N	they seem to be regulating the government well enough	they don't seem to be regulating themselves well enough	1	The government is regulated by banks and corporations instead of governments actually regulating banks.	Big banks are out of control	Are Big Banks Out of Control?	Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly?
7951577_328_A1I4CYG5YDFTYM	churches and other buildings offer the same things and the internet is full of free information	churches and other buildings don't offer the same things and the internet is full of free information	1	My library has many kinds of learning available and provides a community space for everyone, which I love.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
5449342_67_A1HKYY6XI2OHO1	we don't need to keep some groups in their place socially	we should keep some groups in their place socially	0	Social mobility is stifled by unpaid internships.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
7528221_101_A104V8NZIQFN2F	there is a way locals can do everything	there is no way locals can do everything	0	Disasters are locally handled by officials and neighbors.	We don't need FEMA	Do We Really Need FEMA?	Should the states, or private companies, take over FEMA's responsibilities for emergency response.
10100991_0_A104V8NZIQFN2F	I detest high deductibles because I often use my insurance	I prefer high deductibles because I don't use my insurance	0	Obamacare used low rates as a shell game to hide high deductibles and co-pays.	Obamacare is not working	Is Obamacare Working?	The law is starting to take effect. Were the dire predictions correct, or is it lowering costs and expanding access?
5445948_0_A1I4CYG5YDFTYM	it gives you fear of losing your job	it gives training on the job while not fearing losing your job	0	Unpaid interns are not just looking to gain experience.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
9312264_156_A1I4CYG5YDFTYM	this is fair because people will not be too picky or judgmental to offer a fair tip	this is unfair because people could be too picky or judgmental to offer a fair tip	0	Diners may not be able to select the server, but they can compensate them according to their service.	To tip	To Tip or Not to Tip	Should restaurants do away with tipping?
5612224_338_A1CF6U3GF7DZEJ	common sense has been in short supply since Eve	common sense has not been in short supply since Eve	1	People today lack common sense that cannot be taught.	People are getting dumber	Are People Getting Dumber?	Sometimes when you turn on the TV, it's hard not to wonder: Is humanity devolving?
5518992_364_A34QZDSTKZ3JO9	even people without children pay the taxes	even though people without children pay the taxes too	1	They have paid for the right through taxes and deserve the chance to further their athletic abilities.	Home-schoolers should play for high school teams	Should Home-Schoolers Play for High School Teams?	Home-schoolers may not want their children in the classroom but they'd like to see them on the football field. Is that their right?
7952064_230_A34QZDSTKZ3JO9	people don't need to be social to read	some people need to be social to read	1	Some people like a social place to read.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
6032130_73_A1I4CYG5YDFTYM	there is a large supply of information available online that anyone and everyone can access	there isn't a large supply of information available online that anyone and everyone can access	1	Some kids are not taught by parents how to cook, and many schools have done away with home economics in favor of science and math.	We need more advice about eating well	Do We Need More Advice About Eating Well?	Maybe Americans would be healthier if we understood nutrition better. Or maybe we know enough, and eat poorly for other reasons.
9863387_192_APW9F8OTJ4KXO	living on campus provides experience that allows for social and personal growth that just isn't obtained by living off campus	living on campus doesn't provide any additional experience that allows for social and personal growth	1	Most Americans live within commuting distance of universities.	Students should live off campus	Should Students Live on Campus or Off?	Is living in a dormitory worth the expense? Does living elsewhere mean missing out on the "college experience"?
11526420_122_APW9F8OTJ4KXO	apps are dependable and the best course of action is not to have a stenographer with an app used as backup	apps alone are not dependable and the best course of action is to have a stenographer with an app used as backup	0	Stenographers' work can be put into an app.	Court stenographers are not necessary	Are Court Stenographers Necessary?	After a New York court reporter left behind an incomplete record, some are asking whether it still makes sense to use stenographers in legal proceedings.
12408129_0_AE861G0AY5RGT	the residents of the Broken windows policing feel their quality of life is improving	the residents of the Broken windows policing feel their quality of life is being lowered	0	Broken windows policing saves money and increases quality of life, a powerful achievement.	Strictly enforcing minor violations deter more serious crime	Is 'Broken Windows' a Broken Policy for Police?	Does strictly enforcing minor violations deter more serious crime or simply harass and antagonize residents of high-crime neighborhoods?
9830834_412_APW9F8OTJ4KXO	it is the place of the US to be the watchdog of the world when plenty of our own are being mistreated	it is not the place of the US to be the watchdog of the world when plenty of our own are being mistreated	0	Syria has hurt its own people and it should be addressed.	US should attack Syria	Is an Attack on Syria Justified?	Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons?
8841900_282_A1CF6U3GF7DZEJ	NATO only looks good on paper	NATO looks good on paper	0	NATO is an organization without a purpose.	We should disband NATO	Has NATO Outlived Its Usefulness?	With the Soviet Union gone and austerity challenging security, should we disband NATO?
8834740_580_A1HKYY6XI2OHO1	high tuition doesn't always mean more money to pay professors	high tuition means more money to pay professors, especially ones using Crowdsource platforms to do research	0	College sports make tuition higher.	Drop sports program in undergraduate schools	Dropping the Ball	Should more undergraduate schools follow in the footsteps of Spelman College and consider dropping intercollegiate sports programs?
5448130_383_AB98SGS280TY5	Unpaid internships need to be regulated.	Unpaid internships are insufficiently regulated.	1	Internships are abused by employers and they should be monitored for misuse.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
10338783_127_A34QZDSTKZ3JO9	everyone lies at times	officers lie at times	1	Police officers are occasionally untruthful or falsify evidence.	Police officers should be required to wear cameras	If Police Encounters Were Filmed	Should police officers be required to wear cameras that record their interactions with the public?
4062498_218_A247LJDZOGXJK6	the internet offers teachers all the resources they could need	the internet doesn't offer teachers all the resources they could need	1	Librarians ensure teachers have the necessary resources.	School librarians are not expendable	Are School Librarians Expendable?	States and cities are under severe budget constraints. They are turning to the library.
5907773_300_A1DJNUJZN8FE7N	wasting money is a great way to help the economy	wasting money is a great way to hurt the economy	1	Hosting the Olympics is a waste of money.	Olympics are more trouble	Are the Olympics More Trouble Than They're Worth?	London and Rio de Janeiro saw the Games as an opportunity. But will the cities change for the better, and at what cost?
12002102_0_AD8UJKT5HYGNJ	a business shouldn't worry their employees becoming their next competitor	a business should worry their employees becoming their next competitor	0	It is unsupportable for companies to suppress employees' future career options.	Businesses should not be allowed to have new employees sign noncompete deals	When Companies Close Doors to the Future	Should businesses be allowed to have new employees sign noncompete deals, agreeing to not to work for competitors?
12536410_143_AE861G0AY5RGT	there is no innovation in 3-d printing since it's unsustainable	there is much innovation in 3-d printing and it is sustainable	1	Economic growth needs innovation.	3-D printing will change the world	Will 3-D Printing Change the World?	For all the hype over three-dimensional printing, it's still unclear exactly how and when it will have an impact on our daily lives.
9309004_185_A2QVMCGDLTWV9	society needs rank and file workers more than entrepreneurs	society needs entrepreneurs more than rank and file workers,	1	Tipping rewards entrepreneurial spirit and hard work.	To tip	To Tip or Not to Tip	Should restaurants do away with tipping?
11891193_331_A3TKD7EJ6BM0M5	schools won't likely cheat or falsify information	schools will likely cheat or falsify information	0	Governments grading colleges will force colleges to be concerned with student outcome.	Government should grade colleges	Should the Government Grade Colleges?	Should the government rate colleges to hold them accountable for graduation rates, student debt and access for the poor and minorities?
2700020_649_A34QZDSTKZ3JO9	more people now understand other cultures	more people now fail to understand other cultures	1	Understanding other culture is more important now than ever before.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
11970354_200_AYFOAD75CRBKE	the choices affect a wide demographic	the choices don't affect a wide demographic	1	Adults should be able to make their own choices.	Colorado didn't go too far with pot	Did Colorado Go Too Far With Pot?	Was the move to legalize marijuana done too quickly? Do changes need to be made to their approach?
5612280_615_A34QZDSTKZ3JO9	people can catch the errors in publications when they are reading	people cannot catch the errors in publications when they are reading	1	In highly respected publications there are numerous errors.	People are getting dumber	Are People Getting Dumber?	Sometimes when you turn on the TV, it's hard not to wonder: Is humanity devolving?
4063639_595_A1HKYY6XI2OHO1	many books aren't digital now	most books are digital now and there really isn't much of a job for librarians to do any more	0	Librarians have the ability to teach a special skill set to those who come to their buildings and they generally have the love of their job to do just that.	School librarians are not expendable	Are School Librarians Expendable?	States and cities are under severe budget constraints. They are turning to the library.
10944652_774_AE861G0AY5RGT	patrons of the banks don't pay off their debt on time	patrons of the banks pay off their debt on time	0	There is a large rise of debt feeding big banks.	Big banks are out of control	Are Big Banks Out of Control?	Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly?
10224439_92_A1I4CYG5YDFTYM	people are responsible for controlling themselves and their finances, this financial boost could do wonders for the economy	people are not responsible for controlling themselves and their finances, this financial boost could not do wonders for the economy	1	Casino's take advantage of people and create nothing of substance.	Casinos are too much of a gamble	Are Casinos Too Much of a Gamble?	Do the economic and fiscal benefits of casinos outweigh their social and economic costs?
11404235_276_A3TKD7EJ6BM0M5	overpopulation isn't really a problem	overpopulation is a real problem	0	Vaccinations save lives.	Vaccination should be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed to get religious or philosophical exemptions from having their children immunized?
10100991_0_AE861G0AY5RGT	high deductibles are needed in order to keep down the initial costs	high deductibles are not needed in order to keep down the initial costs	1	Obamacare used low rates as a shell game to hide high deductibles and co-pays.	Obamacare is not working	Is Obamacare Working?	The law is starting to take effect. Were the dire predictions correct, or is it lowering costs and expanding access?
12404722_129_A1I4CYG5YDFTYM	there aren't many minor violations that are silly and outdated and should be ignored	there are many minor violations that are silly and outdated and should be ignored	0	Enforcing minor violations sets the level of civility that is to be expected in neighborhoods.	Strictly enforcing minor violations deter more serious crime	Is 'Broken Windows' a Broken Policy for Police?	Does strictly enforcing minor violations deter more serious crime or simply harass and antagonize residents of high-crime neighborhoods?
4264489_681_A247LJDZOGXJK6	their parents can't always enroll them in a deaf private school	their parents can enroll them in a deaf private school	0	Deaf students need more specialized education.	States need special schools for the deaf	Do States Need Schools for the Deaf?	A clash over whether children should be encouraged to sign, at a separate school for the deaf, or should attend 'mainstream' schools.
2700850_221_A104V8NZIQFN2F	those career paths are more than just being a liberal arts teacher or a hobo	those career paths are being a liberal arts teacher or a hobo	0	Liberal arts provide knowledge to learn creative thinking, reading, and writing which are important to many career paths.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
13659246_229_A104V8NZIQFN2F	terrorists also violate American laws for no reason	terrorists do not violate American laws for no reason	1	The CIA violates American laws for no reason.	We don't need the C.I.A.	Do We Need the C.I.A.?	Would the security needs of the United States be better served if the agency were dismantled?
6812570_454_A1CF6U3GF7DZEJ	the other players need to stay competitive	the other players don't need to stay competitive	0	Doping gives an unfair advantage to certain players which bothers me,	Doping should not be allowed	Should Doping Be Allowed?	It's a constant scandal in cycling, baseball and at the Olympics. Testing doesn't eliminate the drugs. Should we just accept them?
13320024_249_A104V8NZIQFN2F	strangers wouldn't be able to help your children with homework	strangers will help your children with homework	0	Children need an adult to help them learn good working habits and help with their frustration.	Parents should help their children with homework	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?
4595363_428_A34QZDSTKZ3JO9	people can rest at night	people need to rest	1	Everyone needs plenty of rest, school should not interfere with that.	School day should not be longer	Should the School Day Be Longer?	While more time in the classroom may benefit children from disadvantaged backgrounds, is it right for everyone?
9177340_550_A1LZPWVZRTUZD0	genes are like DNA sequences that already exist	genes are not DNA sequences that already exist	0	Companies should not be able to patent DNA sequences that already exist.	Companies shouldn't be allowed to patent genes	Can the Human Blueprint Have Owners?	Should companies be allowed to patent genes?
2699384_115_A1DJNUJZN8FE7N	a person can learn a little French without an entire class	a person can most easily learn a little French with a class	1	Learning just some French can help with travelling.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
10396017_195_A1DJNUJZN8FE7N	those benefits outweigh the drawbacks	those benefits don't outweigh the drawbacks	0	Offering 6 years of high school can aid in a better and more well rounded curriculum that will help lift students into well paying jobs.	High school should last six years	Should High School Last Six Years?	President Obama recently visited a six-year high school, highlighting it as a model for the rest of the U.S. Should it be replicated?
3234363_0_A1CF6U3GF7DZEJ	independence is really not valued in our corporate society	independence is highly valued in our corporate society	1	Extreme parenting limits a child's ability to be independent.	Extreme parenting is counterproductive	Is Extreme Parenting Effective?	Does strict control of a child's life lead to greater success or can it be counterproductive?
5447530_253_AJNQ2PBD07FKE	internships aren't very useful with education	all internships are very useful with education	0	There are other ways to get your foot in the door besides unpaid internships.	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?
3651490_320_A3GNQDFPZALU92	these issues ate not bound to be addressed at some future point, at that point, I'll say	these issues ate bound to be addressed at some future point, at that point, I'll say	0	I found online courses to not be well designed, flexible, or conducive to discussion.	Online classes are not the best way to teach	Can Young Students Learn From Online Classes?	Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group?
10951533_599_A104V8NZIQFN2F	Big Banks are serving a much bigger community with more rules	Big Banks are serving a much bigger community with less rules	1	Smaller banks are more likely to be rigorous in compliance with regulations, as they are beholden to their community.	Big banks are out of control	Are Big Banks Out of Control?	Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly?
11408927_12_A104V8NZIQFN2F	the enlightened and religious can not ethically infringe on others rights	the enlightened and religious can ethically infringe on others rights	0	Not vaccinating infringes on the rights of others.	Vaccination should be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed to get religious or philosophical exemptions from having their children immunized?
2700020_649_A1DJNUJZN8FE7N	the best way to do that is to travel	to travel is not necessarily the best way to do that	1	Understanding other culture is more important now than ever before.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
13659246_365_A1I4CYG5YDFTYM	those enemies aren't criminals and are not wishing to do harm to American people	those enemies are often criminals and those wishing to do harm to American people	0	The CIA creates more enemies for the US through it's actions.	We don't need the C.I.A.	Do We Need the C.I.A.?	Would the security needs of the United States be better served if the agency were dismantled?
3649836_172_A1HKYY6XI2OHO1	computers can be programmed at the factory to adapt	computers can be programmed at the factory without needing to adapt	0	A computer is able to adapt to individual learning pace and needs.	Online classes are the best way to teach	Can Young Students Learn From Online Classes?	Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group?
7950152_435_A1CF6U3GF7DZEJ	people can function without learning	people can't function without learning	1	Libraries provide for lifelong learning.	We need libraries	Do We Still Need Libraries?	What are libraries for, and how should they evolve?
4839122_716_A104V8NZIQFN2F	mandatory voting will force society as a whole to educate more people	mandatory voting will force society as a whole to coerce more people	1	Politicians are criticized for pandering to unintelligent voters, so it makes no sense to demand that a larger number of such people be forced to vote.	Voting should not be mandatory	Should Voting Be Mandatory?	Or are there already too many people casting ballots?
11408162_344_A1DJNUJZN8FE7N	that personal choice has to be the best for the child legally	that personal choice won't always be best for the child legally	1	Vaccination should remain a personal choice.	Vaccination should not be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed to get religious or philosophical exemptions from having their children immunized?
2326100_375_APQU1QQ738JV9	the government does not have the right to control the internet	the government has the right to control the internet	1	We want the US to regulate so people will not be exploited.	Internet gambling should be legalized	Should Internet Gambling Be Legalized?	The potential boon for cash-strapped states versus the social costs associated with addiction.
2700862_178_AE861G0AY5RGT	college is about job preparation and not complex intellectual ecosystems	college is about complex intellectual ecosystems and not job preparation	1	We should support humanities programs to create a intellectual ecosystem that is complex and evolved.	Colleges need humanities programs	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?
4592432_277_A2GHGJP29KRWOQ	Schools could incorporate down time and fun into a longer day	Schools can't incorporate down time and fun in a longer day	1	Children need down time to have fun and be young.	School day should not be longer	Should the School Day Be Longer?	While more time in the classroom may benefit children from disadvantaged backgrounds, is it right for everyone?
