" "	competence	feedbacks	firstAssignment	firstHIT	hits	timeAvg	timeMax	timeMin	timeStdev
A3GKXRWO1II2NM	0.248		3YHH42UU5CR7YS731L7W4KDW3DAL0M	39WSF6KUV2XB9JS1WIH1T6NADLYEO8	8	302	643	159	165
A3GNQDFPZALU92	0.042		3WR9XG3T64NPIV02GSTOXIL8P9G47F	3KWGG5KP6JE8CINBNBWTBEY2X96MC8	5	972	1168	799	151
A3TKD7EJ6BM0M5	0.404		3URFVVM166U7J30NETCP16C1YB8ZU8	3T2EL38U0MWN0VWY60ZX603H8SRQX1	67	157	404	67	67
A3TQKAOIJSPPRB	0.390		3TYCR1GOTDV40DDT5FKOAJGILNDZLI	3D3B8GE8923CZNDL37EUQSRPWTE9PA	14	171	259	113	44
A3UK8YO8XN4JEP	0.231		3OB0CAO74I129RKYI8374KE9YBEYHV	3BC9H1KCYUOHKXIUN5K5H3SCYZ2YWJ	12	237	367	119	69
ACSYZN2MGIZUD	0.070		3XIQGXAUMDKGGXOC03VTUTI6I61X77	308KJXFUJRIOWYGXCU1ERX36REHTAE	3	329	458	229	117
AD8UJKT5HYGNJ	0.002	"#3 & #5 were hard, I truely did my best and am almost out of time, lol.  They didn't seem to have a clear reason though similar topic and wasn't sure what would be right to do there..."	32Q90QCQ1TXV5C4FOSUAA92L8K7EK2	341H3G5YF0QOHXREQKT3OFSA3ORZ09	1	1041	1041	1041	0
AE861G0AY5RGT	0.100		3F1567XTNXH0LJBTTMYLEHDJGO19QN	39WSF6KUV2XB9JS1WIH1T6NADLYOEI	52	577	1098	159	243
ALJMDVY95Y5G4	0.231		3JNQLM5FT5YEU2AHG8BAN86B0BUL26	3XDJY5RK5SXOUMF53YHXJQ38IIT4U6	2	243	286	199	62
APW9F8OTJ4KXO	0.240		3EJJQNKU9SHTCQ8C4DBDWOLCVSFRHA	3IKDQS3DQECMGZXK2WY1JLRLG0MCII	62	320	978	88	237
ASFR82SJYMGNU	0.106		3L70J4KAZHYK1THTG661ADH43SUDA3	3URJ6VVYUPZTHHV87C5OKKBJ0W54OT	2	290	291	289	1
AWQ575N3GXTL1	0.035		3C44YUNSI21ROXNV5POY086Z2EHPDI	3G5RUKN2ECFCW218NS12M3MUWED9NE	6	647	901	408	183
